# SECTION 1: PAGE PRIORITIZATION (sorted by priority then lifecycle score)
# lifecycle_score = MQL×1 + SQL×3 + Opportunity×5 + Customer×10
# Traffic comparison: November 2025 vs May 2026

priority,page_path,lifecycle_score,total_contacts,MQL,SQL,Opportunity,Customer,nov_clicks,may_clicks,delta_clicks,delta_pct,nov_position,may_position,focus_keyword_1,focus_keyword_2,focus_keyword_3
P3 — MONITOR,/insider/sephora-beauty-insider,7,3,2,0,1,0,331,98,-233,-70%,4.7,7.9,beauty insider,beauty account,
P3 — MONITOR,/role/developers,7,3,2,0,1,0,3,2,-1,-33%,28.6,8.7,,,
P3 — MONITOR,/insider/best-retail-loyalty-programs,6,6,6,0,0,0,109,25,-84,-77%,8.5,11.7,10-benefits-outsourcing-customer-loyalty-retail-programs,company rewards program,retail loyalty programs
P3 — MONITOR,/insider/headless-loyalty-software,6,2,1,0,1,0,4,4,0,+0%,19.2,7.2,headless loyalty software,api driven loyalty platform,
P3 — MONITOR,/insider/gamification-healthcare,6,2,1,0,1,0,22,10,-12,-54%,11.2,12.9,digital health gamification,gamification news 2025,
P3 — MONITOR,/resources/loyalty-program-roi,6,2,1,0,1,0,24,3,-21,-88%,9.0,14.2,how to calculate roi for loyalty programs,card offer roi analysis,
P3 — MONITOR,/insider/loyalty-program-metrics-measuring-the-health-of-your-loyalty-program,6,2,1,0,1,0,66,38,-28,-42%,6.2,7.0,"""assess whether an account is engaged"" loyalty program",loyalty program metrics,
P3 — MONITOR,/product/leaderboard-software,6,2,1,0,1,0,6,6,0,+0%,9.8,12.4,cost of implementing live leaderboard software,leaderboard software,
P3 — MONITOR,/technology/cloud-loyalty,6,2,1,0,1,0,4,4,0,+0%,6.5,9.3,cloud based loyalty,cloud loyalty software,
P3 — MONITOR,/book-a-demo-with-us,6,2,1,0,1,0,0,0,0,new,0,0,,,
P3 — MONITOR,/product/customer-gamification-software,5,5,5,0,0,0,2,1,-1,-50%,5.2,20.0,gamification platform,,
P3 — MONITOR,/resources/loyalty-program-implementation-a-step-by-step-guide,5,3,2,1,0,0,135,26,-109,-81%,10.6,16.8,apparel loyalty and reward solution,loylaty program,
P3 — MONITOR,/clients/u-s-soccer,5,1,0,0,1,0,5,1,-4,-80%,16.4,12.5,,,
P3 — MONITOR,/insider/how-duolingos-gamification-mechanics-drive-customer-loyalty,5,1,0,0,1,0,37,29,-8,-22%,8.2,7.8,duolingo engagement,,
P3 — MONITOR,/webinars/webinar-product-managers-guide-to-loyalty-program-implementation,5,1,0,0,1,0,0,0,0,new,0,0,,,
P3 — MONITOR,/role/loyalty-marketer,5,1,0,0,1,0,0,0,0,new,0,0,limango marketing,,
P3 — MONITOR,/insider/gift-cards,5,1,0,0,1,0,4,1,-3,-75%,7.7,11.5,gift card reward programs,,
P3 — MONITOR,/insider/how-to-solve-the-build-vs-buy-dilemma-when-building-a-loyalty-solution,5,1,0,0,1,0,0,0,0,new,0,0,,,
P3 — MONITOR,/clients/club-brugge,5,1,0,0,1,0,0,9,9,new,0,9.7,,,
P3 — MONITOR,/product/customer-retention-software,5,1,0,0,1,0,0,1,1,new,0,28.0,,,
P3 — MONITOR,/applications,5,1,0,0,1,0,2,2,0,+0%,25.6,7.9,,,
P3 — MONITOR,/ai-labs,5,1,0,0,1,0,0,0,0,new,0,0,,,
P3 — MONITOR,/insider/effective-tiered-loyalty-programs,5,1,0,0,1,0,81,39,-42,-52%,7.6,8.7,benefits of tiered loyalty program,,
P3 — MONITOR,/insider/business-gamification,5,1,0,0,1,0,0,11,11,new,0,7.8,best platforms for support team gamification,,
P3 — MONITOR,/insider/loyalty-program-liability-with-len-llaguno,5,1,0,0,1,0,6,1,-5,-83%,6.9,6.8,acturial loyalty programs,,


# SECTION 2: TOP 20 BUSINESS-OUTCOME KEYWORDS (excluding brand terms)
# Sorted by lifecycle score. Assigned pages = pages where keyword drove highest-value contacts.

keyword,lifecycle_score,total_contacts,MQL,SQL,Opportunity,Customer,nov_clicks,may_clicks,delta_pct,nov_position,may_position,best_page_1,best_page_2
loyalty,54,26,19,0,7,0,8,7,-12%,17.6,13.8,/,/es
loyalty program,44,24,17,4,3,0,21,19,-10%,15.0,16.2,/,/technology/loyalty-program-api
customer loyalty software,33,10,5,1,3,1,9,0,-100%,4.0,0,/,/insider/best-loyalty-software-comparison-guide
best white label loyalty app,20,10,7,1,2,0,0,0,no GSC clicks,0,0,/applications/white-label-loyalty,
best customer loyalty software,19,7,3,2,2,0,0,0,no GSC clicks,0,0,/book-a-demo,/
customer loyalty program software,18,12,10,1,1,0,2,1,-50%,5.1,9.0,/,/technology/loyalty-program-api
loyalty program software,18,10,7,2,1,0,23,11,-52%,5.1,8.4,/,/product/loyalty-campaign-software
customer loyalty platform,16,8,6,0,2,0,1,0,-100%,6.3,0,/,/product/reward-management-system
loyalty platforms,16,8,6,0,2,0,4,3,-25%,6.4,4.9,/,/insider/best-loyalty-software-comparison-guide
loyalty system,16,8,6,0,2,0,22,6,-73%,6.5,11.6,/,
customer rewards platform,14,6,4,0,2,0,0,0,no GSC clicks,0,0,/book-a-demo,/
white label loyalty,13,9,8,0,1,0,3,1,-67%,6.4,5.1,/applications/white-label-loyalty,
api driven loyalty platform,11,7,6,0,1,0,0,0,no GSC clicks,0,0,/,/technology/loyalty-program-api
customer loyalty card software,11,7,6,0,1,0,0,0,no GSC clicks,0,0,/pricing,/
digital loyalty platform cost per user,11,3,1,0,2,0,0,0,no GSC clicks,0,0,/pricing,
customer loyalty programs software,10,4,2,1,1,0,0,0,no GSC clicks,0,0,/,
white label loyalty program,10,2,0,0,2,0,6,0,-100%,2.3,0,/applications/white-label-loyalty,
gamification rewards program,10,2,0,0,2,0,0,0,no GSC clicks,0,0,/insider/10-best-gamification-loyalty-programs-full-report,/resources/10-best-gamification-loyalty-programs
customer loyalty rewards management solutions,10,1,0,0,0,1,0,0,no GSC clicks,0,0,/,
loyalty program platforms,10,2,0,0,2,0,0,2,new,0,8.9,/insider/best-loyalty-software-comparison-guide,/
